Country Name,Country Code,Time,Time Code,GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]",Consumer price index (2010 = 100) [FP.CPI.TOTL],"Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Life expectancy at birth, female (years) [SP.DYN.LE00.FE.IN]","Life expectancy at birth, male (years) [SP.DYN.LE00.MA.IN]",CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],"Energy imports, net (% of energy use) [EG.IMP.CONS.ZS]",Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE],Fossil fuel energy consumption (% of total) [EG.USE.COMM.FO.ZS],Renewable energy consumption (% of total final energy consumption) [EG.FEC.RNEW.ZS],Adjusted savings: education expenditure (current US$) [NY.ADJ.AEDU.CD],"Compulsory education, duration (years) [SE.COM.DURS]",Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Imports of goods and services (current LCU) [NE.IMP.GNFS.CN],Exports of goods and services (current LCU) [NE.EXP.GNFS.CN],"Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]"
Poland,POL,2000,YR2000,172219461126.067,4501.45406742273,4.56102589574685,10672.1210858295,76.0476059850374,9.9,1.37,78,69.7,7.72923671676787,10.7405688610883,2320.37671815161,96.2198417670529,6.92759990692139,7993430167.72386,9,1.83033658531361,5.28789568,252091000000,203500000000,6.12332175120555
Poland,POL,2001,YR2001,190905493539.168,4991.24435799511,1.25847813874928,11119.7151496001,80.1605156227079,9.6,1.31,78.4,70.2,7.67620311149769,10.575707205982,2336.44583847825,95.9808999446962,7.29239988327026,9492203937.32163,9,1.90563800121799,5.66721439,242041000000,212482000000,3.11986109440301
Poland,POL,2002,YR2002,199072058823.529,5207.17142069402,2.03590005175387,11804.2662616751,81.6877996186006,9.3,1.25,78.8,70.4,7.51444584728516,9.79124240965927,2314.20257991789,95.870030437714,7.49100017547607,9959780400,9,1.90063864932514,6.0672431,262136000000,233212000000,1.85018338798741
Poland,POL,2003,YR2003,217827260805.842,5701.6022116161,3.49839626049547,12288.4628747003,82.2454833504474,9.2,1.22,78.9,70.5,7.79226150169993,12.3991349505833,2375.00613146542,96.2477586646671,7.29390001296997,10937156100,9,1.90804203657513,5.95371294,305786000000,282529000000,0.776030800118406
Poland,POL,2004,YR2004,255110181539.808,6681.38647195042,4.9828255931715,13353.6821006072,85.0275575766466,9.3,1.23,79.2,70.7,7.90472592192251,13.7471462499198,2383.05567968255,95.9787564750952,7.31090021133423,13015793300,9,1.8732410064926,5.86845255,347205000000,319448000000,4.91664696191825
Poland,POL,2005,YR2005,306144336269.51,8021.50574346795,3.50684972910888,13896.7933802513,86.8843882939709,9.5,1.24,79.4,70.8,7.89588592508223,14.9656374117747,2414.16178954549,95.9939398872071,7.21619987487793,15878227200,10,1.92612986992008,5.80689144,355788000000,342838000000,2.55918053032048
Poland,POL,2006,YR2006,344622003093.581,9035.41046744936,6.13113807329107,15152.3360834285,88.0005867683732,9.8,1.27,79.6,70.9,8.23491259480184,20.1030528466414,2536.97804532817,95.8203386425739,7.18410015106201,16830072400,10,1.92004479241445,5.80280542,429374000000,404469000000,1.72842349873292
Poland,POL,2007,YR2007,429028505365.078,11254.5173881254,7.06154345873856,16802.8339050496,90.1642951444917,10.2,1.31,79.7,71,8.22049833475689,25.0441449578761,2527.40841162879,95.2120656020728,7.27600002288818,19565249600,10,2.00203282841042,5.87339211,502496000000,457384000000,3.71707846620453
Poland,POL,2008,YR2008,533609081852.897,13996.0251506835,4.19996858982597,18303.3529197974,93.9196127328737,10.9,1.39,80,71.3,8.08692097119955,27.3450514172981,2564.77564158133,94.1138888361082,8.0113000869751,25366149600,10,1.75213971068109,6.37592173,553964000000,486137000000,3.89435109737038
Poland,POL,2009,YR2009,439737508413.192,11526.0558884824,2.8321780367128,19239.9284691728,97.4842305999707,10.9,1.4,80.1,71.5,7.79154679293554,28.6019234946783,2466.52404094266,93.1540577854339,8.84249973297119,20895364000,10,1.79741622783841,6.587708,523092000000,509601000000,3.7855576881331
